ID	title	url
4	On the Effect of Auxiliary Tasks on Representation Dynamics	http://proceedings.mlr.press/v130/lyle21a.html
6	LassoNet: Neural Networks with Feature Sparsity	http://proceedings.mlr.press/v130/lemhadri21a.html
7	Projection-Free Optimization on Uniformly Convex Sets	http://proceedings.mlr.press/v130/kerdreux21a.html
8	Differentiable Greedy Algorithm for Monotone Submodular Maximization: Guarantees, Gradient Estimators, and Applications	http://proceedings.mlr.press/v130/sakaue21a.html
12	Graphical Normalizing Flows	http://proceedings.mlr.press/v130/wehenkel21a.html
14	One-Round Communication Efficient Distributed M-Estimation	http://proceedings.mlr.press/v130/bao21a.html
16	CWY Parametrization: a Solution for Parallelized Optimization of Orthogonal and Stiefel Matrices	http://proceedings.mlr.press/v130/likhosherstov21a.html
19	Regularized Policies are Reward Robust	http://proceedings.mlr.press/v130/husain21a.html
27	Semi-Supervised Learning with Meta-Gradient	http://proceedings.mlr.press/v130/xiao21a.html
39	On Information Gain and Regret Bounds in Gaussian Process Bandits	http://proceedings.mlr.press/v130/vakili21a.html
41	On the proliferation of support vectors in high dimensions	http://proceedings.mlr.press/v130/hsu21a.html
44	Continual Learning using a Bayesian Nonparametric Dictionary of Weight Factors	http://proceedings.mlr.press/v130/mehta21a.html
50	A Fast and Robust Method for Global Topological Functional Optimization	http://proceedings.mlr.press/v130/solomon21a.html
62	Regression Discontinuity Design under Self-selection	http://proceedings.mlr.press/v130/peng21a.html
63	Decision Making Problems with Funnel Structure: A Multi-Task Learning Approach with Application to Email Marketing Campaigns	http://proceedings.mlr.press/v130/xu21a.html
66	When OT meets MoM: Robust estimation of Wasserstein Distance	http://proceedings.mlr.press/v130/staerman21a.html
68	Learning Individually Fair Classifier with Path-Specific Causal-Effect Constraint	http://proceedings.mlr.press/v130/chikahara21a.html
70	Unconstrained MAP Inference, Exponentiated Determinantal Point Processes, and Exponential Inapproximability	http://proceedings.mlr.press/v130/ohsaka21a.html
71	False Discovery Rates in Biological Networks	http://proceedings.mlr.press/v130/yu21a.html
73	Fourier Bases for Solving Permutation Puzzles	http://proceedings.mlr.press/v130/pan21a.html
76	Accelerating Metropolis-Hastings with Lightweight Inference Compilation	http://proceedings.mlr.press/v130/liang21a.html
77	Simultaneously Reconciled Quantile Forecasting of Hierarchically Related Time Series	http://proceedings.mlr.press/v130/han21a.html
78	Fully Gap-Dependent Bounds for Multinomial Logit Bandit	http://proceedings.mlr.press/v130/yang21a.html
82	Alternating Direction Method of Multipliers for Quantization	http://proceedings.mlr.press/v130/huang21a.html
101	Online Forgetting Process for Linear Regression Models	http://proceedings.mlr.press/v130/li21a.html
103	A Bayesian nonparametric approach to count-min sketch under power-law data streams	http://proceedings.mlr.press/v130/dolera21a.html
